genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
chicken1_C-6_maxbin.003.fasta.contigs.fa,95.97,0.67,100.0,2800910,26070,0.9837257652380954
chicken1_C-6_maxbin.004.fasta.contigs.fa,97.43,1.3,21.05,5020809,46909,0.9938274958064516
chicken1_C-6_maxbin.006.fasta.contigs.fa,98.88,1.0,0.0,2473366,36607,0.9968150894117647
chicken1_C-6_maxbin.007.fasta.contigs.fa,98.08,1.34,0.0,4205746,109696,0.9998860972727273
chicken1_C-6_maxbin.008.fasta.contigs.fa,93.97,2.48,0.0,3396516,78784,0.9957149659999999
chicken1_C-6_maxbin.009.fasta.contigs.fa,70.4,9.95,0.0,3775398,3054,0.9994028
chicken1_D10_maxbin.002.fasta.contigs.fa,86.98,1.59,0.0,2212057,91506,0.9985276758064515
chicken1_D10_maxbin.003.fasta.contigs.fa,100.0,0.0,0.0,4009210,211737,0.999910479767442
chicken1_D10_maxbin.004.fasta.contigs.fa,65.13,1.01,46.15,3134036,24484,0.0
chicken1_D10_maxbin.005.fasta.contigs.fa,77.34,0.89,0.0,1384844,60555,0.9999110946153844
chicken1_D10_maxbin.008.fasta.contigs.fa,94.39,4.03,0.0,2404161,92843,0.9990619710000003
chicken1_D10_maxbin.010.fasta.contigs.fa,93.63,12.4,52.63,3486009,60929,0.9968534494736843
chicken1_D10_maxbin.011.fasta.contigs.fa,92.95,0.67,0.0,2588438,38255,0.9950666426190476
chicken1_D10_maxbin.013.fasta.contigs.fa,85.75,2.23,0.0,4261955,57685,0.989883195
chicken1_D10_maxbin.014.fasta_sub.contigs.fa,63.87,14.09,0.0,2332647,75995,0.0
chicken1_D10_maxbin.016.fasta.contigs.fa,93.96,2.01,0.0,2538303,94806,0.9974487107407406
chicken1_D10_maxbin.017.fasta.contigs.fa,83.67,2.68,0.0,2595014,80180,0.999722733181818
chicken1_D10_maxbin.019.fasta.contigs.fa,71.88,1.34,0.0,1776223,48077,0.9927138972727274
chicken1_D10_maxbin.020.fasta.contigs.fa,85.01,0.67,0.0,2602384,80177,0.9991630366666667
chicken1_D10_maxbin.021.fasta.contigs.fa,94.74,7.02,33.33,2657845,18140,0.9909539520000001
chicken1_D10_maxbin.022.fasta.contigs.fa,33.83,6.19,16.67,2719921,20143,0.0
chicken1_D10_maxbin.026.fasta.contigs.fa,39.46,1.39,40.0,1151696,5293,0.0
chicken1_D10_maxbin.027.fasta.contigs.fa,77.58,40.3,3.31,5308853,52006,0.0
chicken1_D10_maxbin.028.fasta.contigs.fa,59.81,0.63,0.0,2000451,78500,0.0
chicken1_D10_maxbin.029.fasta.contigs.fa,76.19,0.68,0.0,1836565,56575,0.9994983378947367
chicken1_D10_maxbin.030.fasta.contigs.fa,22.47,3.16,14.29,968697,33028,0.0
chicken1_D10_maxbin.031.fasta.contigs.fa,17.98,0.0,0.0,897729,22667,0.0
chicken1_D10_maxbin.034.fasta.contigs.fa,88.59,0.84,11.11,2609996,58578,0.9994053048484849
chicken1_D10_maxbin.035.fasta.contigs.fa,93.97,41.91,77.01,3105668,13215,0.0
chicken1_D10_maxbin.036.fasta.contigs.fa,95.28,2.36,33.33,3059079,23683,0.9979809026666666
chicken1_D10_maxbin.037.fasta.contigs.fa,87.96,10.28,3.57,2560411,30434,0.9979839799999999
chicken1_D10_maxbin.038.fasta.contigs.fa,86.37,9.36,9.38,2684525,16267,0.993970147
chicken1_D10_maxbin.039.fasta.contigs.fa,93.23,7.03,35.71,3449934,7535,0.9935700122222223
chicken1_D10_maxbin.042.fasta_sub.contigs.fa,70.19,15.48,2.5,2878426,5954,0.9989041020833334
chicken1_D10_maxbin.044.fasta.contigs.fa,89.72,5.58,13.04,2409252,9709,0.9956622016666666
chicken1_D10_maxbin.048.fasta.contigs.fa,70.51,38.63,18.37,1790739,4731,0.0
chicken1_D10_maxbin.049.fasta.contigs.fa,44.9,12.08,28.57,1640128,4259,0.0
chicken1_D10_maxbin.050.fasta.contigs.fa,68.07,8.84,4.76,3057946,3191,0.0
chicken1_D10_maxbin.054.fasta.contigs.fa,81.03,30.09,24.41,2497039,4083,0.0
chicken1_D10_maxbin.061.fasta.contigs.fa,7.21,1.08,36.36,656613,2215,0.0
chicken1_D10_maxbin.069.fasta.contigs.fa,53.74,13.5,0.0,1190301,1532,0.0
chicken1_D10_metabat2.32.fa.contigs.fa,27.97,0.0,0.0,524323,63571,0.0
chicken1_D10_metabat2.93.fa.contigs.fa,6.04,0.0,0.0,313903,202537,0.0
chicken1_D11_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,3954445,219571,0.999897825116279
chicken1_D11_maxbin.002.fasta.contigs.fa,43.09,0.87,62.5,1892772,15403,0.0
chicken1_D11_maxbin.003.fasta.contigs.fa,97.32,0.67,0.0,3292165,44320,0.995570705
chicken1_D11_maxbin.005.fasta.contigs.fa,88.1,0.91,0.0,2626792,69401,0.9984065119354838
chicken1_D11_maxbin.007.fasta.contigs.fa,77.34,1.57,0.0,1497571,59709,0.9998676019230769
chicken1_D11_maxbin.008.fasta.contigs.fa,94.34,4.85,0.0,2459411,40731,0.9971349545000001
chicken1_D11_maxbin.010.fasta.contigs.fa,92.95,0.94,0.0,2551317,120561,0.9994314863636363
chicken1_D11_maxbin.011.fasta.contigs.fa,85.13,0.47,33.33,3077633,69160,0.9967593945000001
chicken1_D11_maxbin.012.fasta.contigs.fa,37.7,5.37,0.0,1266057,36706,0.0
chicken1_D11_maxbin.013.fasta.contigs.fa,28.19,2.62,12.5,878603,22335,0.0
chicken1_D11_maxbin.014.fasta.contigs.fa,78.52,2.68,0.0,2245476,91487,0.9977177196296296
chicken1_D11_maxbin.017.fasta.contigs.fa,59.13,2.35,25.0,1668483,24091,0.0
chicken1_D11_maxbin.018.fasta.contigs.fa,78.69,2.13,66.67,1761727,21348,0.9929244036363637
chicken1_D11_maxbin.019.fasta_sub.contigs.fa,89.01,1.7,0.0,2213739,50809,0.9998502075
chicken1_D11_maxbin.021.fasta.contigs.fa,88.11,0.9,0.0,1855849,286531,0.9998079375
chicken1_D11_maxbin.022.fasta.contigs.fa,97.38,0.0,0.0,2966835,257716,0.9998400160714286
chicken1_D11_maxbin.023.fasta.contigs.fa,84.21,1.61,0.0,3189797,60432,0.9984922886363635
chicken1_D11_maxbin.024.fasta_sub.contigs.fa,69.39,8.13,92.86,2546786,44697,0.0
chicken1_D11_maxbin.025.fasta.contigs.fa,68.82,5.72,66.67,2143046,15023,0.0
chicken1_D11_maxbin.026.fasta.contigs.fa,87.62,11.01,20.59,2252784,19630,0.9993657183333333
chicken1_D11_maxbin.030.fasta.contigs.fa,92.37,10.43,37.04,3393934,6304,0.9910874372222221
chicken1_D11_maxbin.032.fasta.contigs.fa,84.78,18.71,10.42,3876894,13217,0.999461359090909
chicken1_D11_maxbin.034.fasta_sub.contigs.fa,77.59,14.34,17.24,4524309,2943,0.9974165604761905
chicken1_D11_maxbin.036.fasta_sub.contigs.fa,79.71,15.7,32.79,2910913,6296,0.9959949910526315
chicken1_D11_maxbin.045.fasta.contigs.fa,57.95,3.85,0.0,1837821,2424,0.0
chicken1_D11_metabat2.33.fa.contigs.fa,57.5,0.06,100.0,1375380,28099,0.0
chicken1_D11_metabat2.34.fa.contigs.fa,26.42,0.0,0.0,532951,20705,0.0
chicken1_D11_metabat2.37.fa_sub.contigs.fa,87.0,1.91,0.0,3069801,20221,0.9950464583333334
chicken1_D11_metabat2.60.fa.contigs.fa,74.55,1.93,11.11,1957855,29181,0.9987510875
chicken1_D12_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,4023392,219558,0.9998951332558139
chicken1_D12_maxbin.002.fasta.contigs.fa,93.96,0.0,0.0,2488954,38842,0.9953594007142856
chicken1_D12_maxbin.004.fasta.contigs.fa,89.8,0.12,0.0,2620821,115728,0.9986194545161289
chicken1_D12_maxbin.005.fasta.contigs.fa,95.29,0.0,0.0,2042191,76902,0.999816505
chicken1_D12_maxbin.006.fasta.contigs.fa,98.55,2.39,8.57,5508152,44538,0.9938338425806451
chicken1_D12_maxbin.007.fasta.contigs.fa,99.63,3.37,5.88,3192996,29345,0.9966475847058822
chicken1_D12_maxbin.008.fasta_sub.contigs.fa,96.3,2.78,30.77,3831224,81374,0.9972927121052632
chicken1_D12_maxbin.009.fasta.contigs.fa,97.59,1.5,0.0,4693598,57599,0.9995365978571431
chicken1_D12_maxbin.014.fasta.contigs.fa,95.28,0.13,0.0,2550026,40933,0.9973502634999999
chicken1_D12_maxbin.016.fasta.contigs.fa,94.94,3.16,0.0,3772938,71031,0.9983061880000001
chicken1_D12_maxbin.017.fasta.contigs.fa,90.94,0.69,0.0,2498923,118010,0.9994634924242424
chicken1_D12_maxbin.018.fasta.contigs.fa,76.0,6.82,0.0,1815193,60555,0.9998670138461538
chicken1_D12_maxbin.019.fasta.contigs.fa,98.08,1.48,0.0,3947981,112853,0.9999253013636366
chicken1_D12_maxbin.020.fasta.contigs.fa,69.73,2.91,0.0,1736128,76947,0.0
chicken1_D12_maxbin.021.fasta.contigs.fa,81.38,0.0,0.0,2412877,125051,0.998964295
chicken1_D12_maxbin.022.fasta.contigs.fa,91.08,9.77,0.0,4189613,43806,0.9993209762499999
chicken1_D12_maxbin.023.fasta.contigs.fa,96.55,17.26,7.69,2835262,52927,0.9975665522222222
chicken1_D12_maxbin.024.fasta.contigs.fa,98.5,8.29,24.0,3547254,55818,0.9995593253571428
chicken1_D12_maxbin.025.fasta.contigs.fa,94.91,4.26,7.41,3470438,37219,0.99981099125
chicken1_D12_maxbin.026.fasta.contigs.fa,23.85,2.83,25.0,1700030,1814,0.0
chicken1_D12_maxbin.027.fasta_sub.contigs.fa,34.43,4.77,16.67,1961487,3662,0.0
chicken1_D12_maxbin.030.fasta_sub.contigs.fa,33.43,10.8,2.56,3196365,2120,0.0
chicken1_D12_maxbin.033.fasta.contigs.fa,83.88,12.87,5.0,2774632,4100,0.9990923447619047
chicken1_D12_maxbin.036.fasta.contigs.fa,56.75,10.61,2.44,4383751,1840,0.0
chicken1_D12_maxbin.038.fasta.contigs.fa,67.02,8.06,11.11,1696465,2136,0.0
chicken1_D12_metabat2.25.fa.contigs.fa,28.03,0.0,0.0,443583,7395,0.0
chicken1_D12_metabat2.34.fa.contigs.fa,5.7,0.0,0.0,266423,266423,0.0
chicken1_D12_metabat2.38.fa.contigs.fa,8.72,0.0,0.0,255040,85901,0.0
chicken1_D12_metabat2.53.fa.contigs.fa,72.21,0.17,0.0,1745859,7839,0.9984050633333333
chicken1_D12_metabat2.74.fa.contigs.fa,84.39,0.64,0.0,2877530,30696,0.9952658516666667
chicken1_D12_metabat2.77.fa.contigs.fa,40.86,0.0,0.0,1554092,16986,0.0
chicken1_D13_maxbin.002.fasta.contigs.fa,85.75,3.29,0.0,2065248,84100,0.9985147803225807
chicken1_D13_maxbin.003.fasta.contigs.fa,100.0,0.0,0.0,4003367,239002,0.9999158155813954
chicken1_D13_maxbin.005.fasta.contigs.fa,94.54,4.51,25.0,4042261,67850,0.997248992631579
chicken1_D13_maxbin.006.fasta.contigs.fa,60.35,0.82,66.67,2654338,22858,0.0
chicken1_D13_maxbin.007.fasta.contigs.fa,85.85,1.49,0.0,3653087,35214,0.9862020228571431
chicken1_D13_maxbin.010.fasta.contigs.fa,74.65,1.57,0.0,2173294,76439,0.99970152625
chicken1_D13_maxbin.011.fasta.contigs.fa,86.58,2.68,0.0,3012449,64140,0.9969070066666665
chicken1_D13_maxbin.012.fasta.contigs.fa,96.64,4.25,0.0,2371882,104194,0.999090045
chicken1_D13_maxbin.013.fasta.contigs.fa,81.43,6.76,0.0,3072355,42867,0.999682175909091
chicken1_D13_maxbin.014.fasta.contigs.fa,94.3,0.0,0.0,2690336,39414,0.9956254445238093
chicken1_D13_maxbin.015.fasta.contigs.fa,94.34,1.08,0.0,2786733,44258,0.9973438020000002
chicken1_D13_maxbin.016.fasta_sub.contigs.fa,72.99,21.21,31.82,2264880,53965,0.0
