bin_name	total_scgs	supporting_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
c1_Bin_11_7_1	19	17	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	None
c1_Bin_11_8_1	19	18	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	None
c1_Bin_11_9_1	19	10	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp900547035
c1_Bin_11_10_1	21	11	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter sp900541505
c1_Bin_11_16_1	22	20	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	None
c1_Bin_17_1_1	15	15	Bacteria	Firmicutes	Clostridia	Christensenellales	Borkfalkiaceae	Borkfalkia	None
c1_Bin_17_2_1	16	12	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NSJ-38	None
c1_Bin_17_4_1	22	22	Bacteria	Firmicutes	Clostridia	None	None	None	None
c1_Bin_17_5_1	17	17	Bacteria	Firmicutes	Clostridia	Christensenellales	Borkfalkiaceae	UBA11940	UBA11940 sp900549005
c1_Bin_17_6_1	19	18	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter sp900543115
c1_Bin_13_3_1	14	7	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor sp002161085
c1_Bin_13_4_1	21	19	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	None
c1_Bin_13_5_1	21	17	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor capillosus
c1_Bin_13_9_1	23	18	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UBA5446	UBA5446 sp900543085
c1_Bin_9_3_1	16	16	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	None	None
c1_Bin_9_5_1	18	18	Bacteria	Firmicutes	Clostridia	Lachnospirales	CAG-274	UMGS1441	None
c1_Bin_9_10_1	16	16	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	None	None
c1_Bin_9_11_1	17	10	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium sp002160755
c1_Bin_9_13_1	3	3	Bacteria	Firmicutes	Bacilli	RF39	UBA660	None	None
c1_Bin_15_7_1	8	6	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	None
c1_Bin_15_8_1	18	18	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	None
c1_Bin_6_2_1	22	20	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	UMGS966	UMGS966 sp900547185
c1_Bin_6_3_1	22	21	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	None
c1_Bin_6_9_1	22	22	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Marseille-P4683	Marseille-P4683 sp900232885
c1_Bin_6_10_1	9	9	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	None	None
c1_Bin_6_16_1	5	5	Bacteria	Firmicutes	Clostridia	Oscillospirales	None	None	None
c1_Bin_6_17_1	4	4	Bacteria	Firmicutes	Clostridia	Oscillospirales	None	None	None
c1_Bin_6_19_1	10	10	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	None	None
c1_Bin_6_20_1	21	21	Bacteria	Firmicutes	Clostridia	Christensenellales	UMGS416	UMGS416	UMGS416 sp900542005
c1_Bin_6_21_1	21	14	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-145	CAG-145 sp900542565
c1_Bin_6_28_1	19	18	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	None
c1_Bin_7_4_1	23	19	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Gordonibacter	None
c1_Bin_7_5_1	6	4	Bacteria	Firmicutes	Clostridia	Christensenellales	Borkfalkiaceae	Borkfalkia	Borkfalkia sp900761675
c1_Bin_7_6_1	20	19	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
c1_Bin_7_8_1	22	22	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	None
c1_Bin_7_9_1	22	21	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	None
c1_Bin_16_2_1	2	2	Bacteria	Firmicutes	Clostridia	Oscillospirales	None	None	None
c1_Bin_12_4_1	10	4	Bacteria	Firmicutes	Clostridia	Monoglobales	UBA1381	UBA4716	UBA4716 sp900556575
c1_Bin_12_6_1	18	13	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Anaeromassilibacillus	Anaeromassilibacillus sp002159845
c1_Bin_12_8_1	13	9	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium ramulus
c1_Bin_12_10_1	12	10	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	None
c1_Bin_5_1_1	22	13	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis
c1_Bin_5_2_1	22	22	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	None	None
c1_Bin_5_3_1	20	11	Bacteria	Firmicutes	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum lactatifermentans
