genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
human1_HC-10_maxbin.016.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
human1_HC-13_maxbin.034.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
human1_HC-19_maxbin.028.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
human1_HC-20_maxbin.018.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
human1_HC-21_maxbin.020.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
human1_concoct_10_refined_2_Bin_6_1-contigs.fa,14_1,0.020000000000000018,average,ANImf,14
human1_concoct_10_refined_2_Bin_6_8-contigs.fa,15_0,0.020000000000000018,average,ANImf,15
human1_HV-16_maxbin.003.fasta.contigs.fa,16_1,0.020000000000000018,average,ANImf,16
human1_HV-19_maxbin.006.fasta.contigs.fa,16_1,0.020000000000000018,average,ANImf,16
human1_HV-20_maxbin.005.fasta.contigs.fa,16_1,0.020000000000000018,average,ANImf,16
human1_concoct_10_refined_2_Bin_0_2_1-contigs.fa,16_1,0.020000000000000018,average,ANImf,16
human1_HC-12_maxbin.023.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HC-14_maxbin.021.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HC-15_maxbin.021.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HC-2_maxbin.035.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HC-4_maxbin.023.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HC-6_maxbin.031.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HC-7_maxbin.036.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HC-8_maxbin.015.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-10_maxbin.002.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-11_maxbin.024.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-12_maxbin.025.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-13_maxbin.004.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-14_maxbin.006.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-16_maxbin.002.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-17_maxbin.020.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-18_maxbin.025.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-19_maxbin.007.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-1_maxbin.028.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-20_maxbin.006.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-21_maxbin.003.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-22_maxbin.002.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-23_maxbin.007.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-24_maxbin.011.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-2_maxbin.041.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-5_maxbin.003.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-7_maxbin.006.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-8_maxbin.003.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_HV-9_maxbin.011.fasta.contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_concoct_10_refined_2_Bin_7_3-contigs.fa,17_1,0.020000000000000018,average,ANImf,17
human1_D-1_metabat2.153.fa.contigs.fa,18_1,0.020000000000000018,average,ANImf,18
human1_concoct_10_refined_2_Bin_9_6-contigs.fa,18_1,0.020000000000000018,average,ANImf,18
human1_HC-16_maxbin.016.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HC-3_maxbin.028.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HC-4_maxbin.021.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-10_maxbin.014.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-13_maxbin.009.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-14_maxbin.007.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-15_maxbin.010.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-16_maxbin.004.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-19_maxbin.012.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-21_maxbin.008.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-22_maxbin.003.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-2_maxbin.024.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-3_maxbin.037.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-8_maxbin.006.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HV-9_maxbin.015.fasta.contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_concoct_10_refined_2_Bin_7_5_1-contigs.fa,19_1,0.020000000000000018,average,ANImf,19
human1_HC-23_maxbin.038.fasta.contigs.fa,20_1,0.020000000000000018,average,ANImf,20
human1_concoct_10_refined_2_Bin_9_19_1-contigs.fa,20_1,0.020000000000000018,average,ANImf,20
human1_HV-15_maxbin.009.fasta.contigs.fa,21_1,0.020000000000000018,average,ANImf,21
human1_HV-21_maxbin.004.fasta.contigs.fa,21_1,0.020000000000000018,average,ANImf,21
human1_HV-9_maxbin.013.fasta.contigs.fa,21_1,0.020000000000000018,average,ANImf,21
human1_HC-12_maxbin.030.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HC-23_maxbin.023.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HC-24_maxbin.036.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HC-3_maxbin.047.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HC-4_maxbin.045.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HV-13_maxbin.005.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HV-14_maxbin.003.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HV-16_maxbin.009.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HV-19_maxbin.011.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HV-1_maxbin.011.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HV-22_maxbin.001.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HV-24_maxbin.038.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HV-2_maxbin.033.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HV-7_maxbin.008.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_HV-8_maxbin.021.fasta.contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_concoct_10_refined_2_Bin_7_4_1-contigs.fa,21_2,0.020000000000000018,average,ANImf,21
human1_D-1_maxbin.028.fasta.contigs.fa,22_1,0.020000000000000018,average,ANImf,22
human1_HV-15_maxbin.008.fasta.contigs.fa,22_1,0.020000000000000018,average,ANImf,22
human1_HV-21_maxbin.009.fasta.contigs.fa,22_1,0.020000000000000018,average,ANImf,22
human1_concoct_10_refined_2_Bin_0_6_1-contigs.fa,22_1,0.020000000000000018,average,ANImf,22
human1_HC-13_maxbin.023.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HC-18_maxbin.035.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HC-1_maxbin.026.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HC-2_maxbin.028.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HC-3_maxbin.033.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HC-4_maxbin.031.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HC-7_maxbin.025.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HC-8_maxbin.025.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HV-10_maxbin.006.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HV-11_maxbin.023.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HV-12_maxbin.032.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HV-17_maxbin.019.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HV-18_maxbin.032.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HV-23_maxbin.041.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HV-24_maxbin.044.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HV-4_maxbin.025.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HV-6_maxbin.042.fasta.contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_concoct_10_refined_2_Bin_9_11-contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_HC-3_maxbin.035.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
human1_HC-8_maxbin.030.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
human1_HV-10_maxbin.042.fasta_sub.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
human1_HV-23_maxbin.040.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
human1_HV-4_maxbin.030.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
human1_concoct_10_refined_2_Bin_3_6_1-contigs.fa,24_1,0.020000000000000018,average,ANImf,24
human1_D-1_maxbin.050.fasta.contigs.fa,25_1,0.020000000000000018,average,ANImf,25
human1_HC-21_maxbin.017.fasta.contigs.fa,25_1,0.020000000000000018,average,ANImf,25
human1_concoct_10_refined_2_Bin_3_9-contigs.fa,25_1,0.020000000000000018,average,ANImf,25
human1_HC-10_maxbin.014.fasta.contigs.fa,26_1,0.020000000000000018,average,ANImf,26
human1_HC-18_maxbin.029.fasta.contigs.fa,26_1,0.020000000000000018,average,ANImf,26
human1_HC-1_maxbin.043.fasta.contigs.fa,26_1,0.020000000000000018,average,ANImf,26
human1_HC-2_maxbin.033.fasta.contigs.fa,26_1,0.020000000000000018,average,ANImf,26
human1_HC-3_maxbin.044.fasta.contigs.fa,26_1,0.020000000000000018,average,ANImf,26
human1_HC-4_maxbin.029.fasta.contigs.fa,26_1,0.020000000000000018,average,ANImf,26
human1_HC-8_maxbin.028.fasta.contigs.fa,26_1,0.020000000000000018,average,ANImf,26
human1_concoct_10_refined_2_Bin_9_3_1-contigs.fa,26_1,0.020000000000000018,average,ANImf,26
human1_HC-16_maxbin.022.fasta_sub.contigs.fa,27_1,0.020000000000000018,average,ANImf,27
human1_concoct_10_refined_2_Bin_9_4_1-contigs.fa,27_1,0.020000000000000018,average,ANImf,27
human1_HV-15_maxbin.002.fasta.contigs.fa,28_1,0.020000000000000018,average,ANImf,28
human1_HV-21_maxbin.002.fasta.contigs.fa,28_1,0.020000000000000018,average,ANImf,28
human1_HV-9_maxbin.002.fasta.contigs.fa,28_1,0.020000000000000018,average,ANImf,28
human1_concoct_10_refined_2_Bin_0_8_1-contigs.fa,28_1,0.020000000000000018,average,ANImf,28
human1_HV-15_maxbin.007.fasta.contigs.fa,29_1,0.020000000000000018,average,ANImf,29
human1_HV-3_maxbin.007.fasta.contigs.fa,29_1,0.020000000000000018,average,ANImf,29
human1_HV-9_maxbin.004.fasta.contigs.fa,29_1,0.020000000000000018,average,ANImf,29
human1_concoct_10_refined_2_Bin_0_7_1-contigs.fa,29_1,0.020000000000000018,average,ANImf,29
human1_HC-16_maxbin.018.fasta.contigs.fa,30_1,0.020000000000000018,average,ANImf,30
human1_concoct_10_refined_2_Bin_3_10_1-contigs.fa,30_1,0.020000000000000018,average,ANImf,30
human1_concoct_10_refined_2_Bin_3_5_1-contigs.fa,31_0,0.020000000000000018,average,ANImf,31
human1_HC-12_maxbin.027.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-14_maxbin.022.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-15_maxbin.028.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-16_maxbin.023.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-17_maxbin.023.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-18_maxbin.031.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-20_maxbin.015.fasta_sub.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-21_maxbin.022.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-24_maxbin.016.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-2_maxbin.043.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-3_maxbin.018.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-4_maxbin.041.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-8_maxbin.016.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_HC-9_maxbin.016.fasta_sub.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_concoct_10_refined_2_Bin_9_9_1-contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_D-1_maxbin.039.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-10_maxbin.020.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-12_maxbin.044.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-13_maxbin.042.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-14_maxbin.015.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-1_maxbin.015.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-20_maxbin.008.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-23_maxbin.018.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-2_maxbin.015.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-3_maxbin.042.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-5_maxbin.027.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-7_maxbin.015.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HC-8_maxbin.002.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HV-10_maxbin.028.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HV-12_maxbin.039.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HV-17_maxbin.028.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
