genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
chicken1_C-4_maxbin.020.fasta_sub.contigs.fa,54.08,2.92,9.09,1257373,25184,0.0
chicken1_C-4_maxbin.021.fasta.contigs.fa,94.83,5.17,0.0,2157391,63036,0.9994639256521738
chicken1_C-4_maxbin.022.fasta.contigs.fa,98.28,14.83,6.25,3066175,54655,0.9997243744444444
chicken1_C-4_maxbin.023.fasta.contigs.fa,27.52,9.55,20.0,4777418,5902,0.0
chicken1_C-4_maxbin.025.fasta.contigs.fa,98.28,7.77,5.26,2601945,24246,0.9990524340625
chicken1_C-4_maxbin.028.fasta.contigs.fa,83.81,18.23,2.27,7569348,8396,0.9992484869230771
chicken1_C-4_maxbin.032.fasta.contigs.fa,85.58,5.56,9.09,2048464,6339,0.9988986411111112
chicken1_C-4_maxbin.034.fasta.contigs.fa,19.4,4.82,29.17,1306784,2556,0.0
chicken1_C-4_maxbin.039.fasta.contigs.fa,64.99,25.32,14.29,2139644,3116,0.0
chicken1_C-4_maxbin.040.fasta.contigs.fa,49.8,1.36,20.0,1157249,1907,0.0
chicken1_C-4_maxbin.045.fasta.contigs.fa,45.87,1.83,40.0,1239281,1598,0.0
chicken1_C-4_metabat2.36.fa.contigs.fa,4.03,0.0,0.0,203052,125689,0.0
chicken1_C-4_metabat2.39.fa.contigs.fa,43.54,0.0,0.0,1041095,29597,0.0
chicken1_C-4_metabat2.53.fa.contigs.fa,8.88,0.0,0.0,227279,14551,0.0
chicken1_C-5_maxbin.001.fasta.contigs.fa,79.93,0.57,0.0,2115560,75906,0.9985449706666666
chicken1_C-5_maxbin.003.fasta.contigs.fa,99.63,0.87,0.0,2839728,31439,0.996234118125
chicken1_C-5_maxbin.004.fasta.contigs.fa,91.59,12.92,25.81,2957166,80938,0.99841271
chicken1_C-5_maxbin.005.fasta_sub.contigs.fa,85.49,10.85,39.13,3536797,59129,0.99869672
chicken1_C-5_maxbin.007.fasta.contigs.fa,91.38,15.99,16.67,3640481,95602,0.99856937
chicken1_C-5_maxbin.008.fasta.contigs.fa,94.3,3.55,0.0,4071507,29040,0.9944563521951219
chicken1_C-5_maxbin.009.fasta.contigs.fa,90.51,0.0,0.0,2629088,80052,0.9968428393333334
chicken1_C-5_maxbin.010.fasta.contigs.fa,98.12,3.3,55.56,3248346,30616,0.998732065
chicken1_C-5_maxbin.011.fasta.contigs.fa,70.69,0.0,0.0,3376114,99944,0.9860454850000001
chicken1_C-5_maxbin.012.fasta.contigs.fa,95.57,19.15,5.56,3568365,114254,0.99971634
chicken1_C-5_maxbin.013.fasta.contigs.fa,99.63,5.43,0.0,3934610,121798,0.9997055592592591
chicken1_C-5_maxbin.014.fasta.contigs.fa,100.0,0.0,0.0,4094999,219622,0.9999172599999999
chicken1_C-5_maxbin.015.fasta.contigs.fa,94.83,19.67,53.33,4144629,65194,0.99924708
chicken1_C-5_maxbin.016.fasta.contigs.fa,67.6,29.56,14.93,2442525,35545,0.0
chicken1_C-5_maxbin.018.fasta.contigs.fa,66.46,23.32,16.22,2134915,36415,0.0
chicken1_C-5_maxbin.019.fasta.contigs.fa,89.34,0.34,0.0,2198043,45613,0.9994524840000001
chicken1_C-5_maxbin.020.fasta.contigs.fa,77.28,0.81,0.0,1521020,26176,0.9991371494444444
