bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_9_13	1246236	67	35313	33.57401362191493	85.91549295774648	1.408450704225352
Bin_9_14	2915226	65	81103	46.79573891226803	100.0	0.0
Bin_9_15	2039329	50	79153	60.224532800747824	83.09859154929578	0.0
Bin_9_16	3088233	79	67779	49.13887526077826	78.87323943661971	4.225352112676056
Bin_9_17	3587157	106	58371	50.98993562167857	100.0	1.408450704225352
Bin_9_18	3365627	51	118123	53.644600275441334	95.77464788732394	4.225352112676056
Bin_9_19	3403148	97	90664	56.55261460141696	98.59154929577464	0.0
Bin_9_2	1291224	37	50308	29.326274829459724	81.69014084507042	1.408450704225352
Bin_9_20	5165740	37	368305	37.489570579743294	98.59154929577464	1.408450704225352
Bin_9_3	3011122	75	85278	44.080831031658015	90.14084507042253	11.267605633802816
Bin_9_4	2433463	80	45927	47.39323516622654	76.05633802816901	0.0
Bin_9_5	2725306	95	72729	37.51112706473319	98.59154929577464	5.633802816901408
Bin_9_6	2222741	61	76439	29.55381891323676	87.32394366197182	12.67605633802817
Bin_9_7	2025262	42	94339	39.972298452712465	90.14084507042253	0.0
Bin_9_8	2936300	111	52838	48.621371116690135	92.95774647887323	1.408450704225352
Bin_9_9	2474506	36	100597	57.79919152636178	91.54929577464789	5.633802816901408
