genome,completeness,contamination,strain_heterogeneity,length,N50
chicken1_C-2_maxbin.005.fasta.contigs.fa,99.25,0.0,0.0,2522727,33229
chicken1_C-2_maxbin.006.fasta.contigs.fa,98.5,1.58,72.0,5044377,25705
chicken1_C-2_maxbin.007.fasta.contigs.fa,97.29,0.34,100.0,2615618,119377
chicken1_C-2_maxbin.008.fasta.contigs.fa,67.67,0.0,0.0,2128227,138609
chicken1_C-2_maxbin.009.fasta.contigs.fa,97.32,3.24,66.67,3211868,18804
chicken1_C-2_maxbin.010.fasta.contigs.fa,97.29,4.59,11.11,3591932,62424
chicken1_C-2_maxbin.011.fasta.contigs.fa,77.02,0.0,0.0,1606764,29426
chicken1_C-2_maxbin.012.fasta.contigs.fa,94.87,7.44,14.29,4633326,6548
chicken1_C-2_maxbin.013.fasta.contigs.fa,77.07,10.09,0.0,3177616,4076
chicken1_C-3_maxbin.001.fasta.contigs.fa,99.46,1.08,0.0,3879809,195494
chicken1_C-3_maxbin.002.fasta.contigs.fa,99.73,0.89,0.0,4003596,109696
chicken1_C-3_maxbin.003.fasta.contigs.fa,95.97,0.0,0.0,2162452,117348
chicken1_C-3_maxbin.004.fasta.contigs.fa,99.31,1.5,0.0,4819694,48616
chicken1_C-3_maxbin.005.fasta.contigs.fa,99.34,0.37,0.0,2735455,31246
chicken1_C-3_maxbin.006.fasta.contigs.fa,93.1,50.0,7.69,3401985,48341
chicken1_C-3_maxbin.007.fasta.contigs.fa,98.32,5.5,0.0,3188655,91499
chicken1_C-3_maxbin.008.fasta.contigs.fa,98.0,4.13,81.4,4897997,20827
chicken1_C-3_maxbin.009.fasta.contigs.fa,92.6,1.01,0.0,2871521,69545
chicken1_C-3_maxbin.010.fasta.contigs.fa,97.32,0.56,100.0,3337615,21845
chicken1_C-3_maxbin.011.fasta.contigs.fa,97.29,1.51,0.0,3629512,62751
chicken1_C-3_maxbin.012.fasta.contigs.fa,43.44,7.36,39.13,4378824,3279
chicken1_C-4_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,4002890,219491
chicken1_C-4_maxbin.002.fasta.contigs.fa,87.87,1.0,58.33,3746790,21303
chicken1_C-4_maxbin.004.fasta.contigs.fa,96.13,11.91,48.48,4854665,44972
chicken1_C-4_maxbin.005.fasta.contigs.fa,85.68,0.18,0.0,2931075,63622
chicken1_C-4_maxbin.006.fasta.contigs.fa,77.34,0.89,0.0,1540322,59709
chicken1_C-4_maxbin.007.fasta.contigs.fa,96.49,8.29,27.59,3717042,90768
chicken1_C-4_maxbin.008.fasta.contigs.fa,99.25,1.95,0.0,3796787,125682
chicken1_C-4_maxbin.009.fasta.contigs.fa,92.15,12.31,88.0,4887749,8009
chicken1_C-4_maxbin.010.fasta.contigs.fa,92.57,2.42,0.0,5621225,279517
chicken1_C-4_maxbin.011.fasta.contigs.fa,73.98,1.57,0.0,2303351,74386
chicken1_C-4_maxbin.012.fasta.contigs.fa,95.3,2.68,0.0,3455392,30348
chicken1_C-4_maxbin.014.fasta.contigs.fa,86.73,0.0,0.0,2204683,62101
chicken1_C-4_maxbin.015.fasta.contigs.fa,93.1,12.77,5.56,3091842,16390
chicken1_C-4_maxbin.016.fasta_sub.contigs.fa,68.85,12.75,0.0,1957839,44944
chicken1_C-4_maxbin.017.fasta.contigs.fa,93.97,51.88,39.08,5889912,26711
chicken1_C-4_maxbin.020.fasta_sub.contigs.fa,54.08,2.92,9.09,1257373,25184
chicken1_C-4_maxbin.021.fasta.contigs.fa,94.83,5.17,0.0,2157391,63036
chicken1_C-4_maxbin.022.fasta.contigs.fa,98.28,14.83,6.25,3066175,54655
chicken1_C-4_maxbin.023.fasta.contigs.fa,27.52,9.55,20.0,4777418,5902
chicken1_C-4_maxbin.025.fasta.contigs.fa,98.28,7.77,5.26,2601945,24246
chicken1_C-4_maxbin.028.fasta.contigs.fa,83.81,18.23,2.27,7569348,8396
chicken1_C-4_maxbin.032.fasta.contigs.fa,85.58,5.56,9.09,2048464,6339
chicken1_C-4_maxbin.034.fasta.contigs.fa,19.4,4.82,29.17,1306784,2556
chicken1_C-4_maxbin.039.fasta.contigs.fa,64.99,25.32,14.29,2139644,3116
chicken1_C-4_maxbin.040.fasta.contigs.fa,49.8,1.36,20.0,1157249,1907
chicken1_C-4_maxbin.045.fasta.contigs.fa,45.87,1.83,40.0,1239281,1598
chicken1_C-4_metabat2.36.fa.contigs.fa,4.03,0.0,0.0,203052,125689
chicken1_C-4_metabat2.39.fa.contigs.fa,43.54,0.0,0.0,1041095,29597
chicken1_C-4_metabat2.53.fa.contigs.fa,8.88,0.0,0.0,227279,14551
