Bin_19	UNKNOWN	None
Bin_18_4	anvi-refine	#096672
Bin_18_5	anvi-refine	#8e0b25
Bin_18_6	anvi-refine	#26048e
Bin_18_7	anvi-refine	#708c0b
Bin_18_8	anvi-refine	#0b7c40
Bin_18_9	anvi-refine	#129e0f
Bin_18_10	anvi-refine	#6a8400
Bin_18_11	anvi-refine	#dd1697
Bin_18_12	anvi-refine	#12045e
Bin_1_1	anvi-refine	#ac0ac9
Bin_1_2	anvi-refine	#021872
Bin_14_1	anvi-refine	#b303c6
Bin_14_2	anvi-refine	#083a70
Bin_14_3	anvi-refine	#064e6b
Bin_14_4	anvi-refine	#a10cd3
Bin_14_5	anvi-refine	#db530a
Bin_14_7	anvi-refine	#0a3984
Bin_14_8	anvi-refine	#d89115
Bin_2_1	anvi-refine	#698709
Bin_8_1	anvi-refine	#0d7000
Bin_8_2	anvi-refine	#bf08d3
Bin_8_3	anvi-refine	#17066d
Bin_8_4	anvi-refine	#0b0168
Bin_8_5	anvi-refine	#9e0a00
Bin_8_6	anvi-refine	#080059
