Bin_19	UNKNOWN	None
Bin_7_9_1	anvi-refine	#0c8406
Bin_16_2_1	anvi-refine	#0a3393
Bin_12_4_1	anvi-refine	#087a5c
Bin_12_6_1	anvi-refine	#057077
Bin_12_8_1	anvi-refine	#e50986
Bin_12_10_1	anvi-refine	#cc04bb
Bin_5_1_1	anvi-refine	#090582
Bin_5_2_1	anvi-refine	#c114e0
Bin_5_3_1	anvi-refine	#012f6b
Bin_5_4_1	anvi-refine	#d313a6
Bin_5_5_1	anvi-refine	#efec13
Bin_18_1_1	anvi-refine	#e2bd14
Bin_18_4_1	anvi-refine	#e26709
Bin_18_5_1	anvi-refine	#270682
Bin_18_6_1	anvi-refine	#150a75
Bin_18_7_1	anvi-refine	#6e820a
Bin_18_8_1	anvi-refine	#0ea513
Bin_18_9_1	anvi-refine	#d0d300
Bin_18_10_1	anvi-refine	#02823b
Bin_18_11_1	anvi-refine	#8c1104
Bin_14_2_1	anvi-refine	#033f6d
Bin_14_7_1	anvi-refine	#31097a
Bin_2_1_1	anvi-refine	#69910b
Bin_8_1_1	anvi-refine	#edd209
Bin_8_2_1	anvi-refine	#779104
Bin_8_3_1	anvi-refine	#066b7f
Bin_8_4_1	anvi-refine	#db5700
Bin_8_5_1	anvi-refine	#c9bc02
Bin_8_6_1	anvi-refine	#758902
